PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
,,9.299092181,178337523.9,7.617372702,146287536.3,7.508411141,152960390.6
,,9.339201576,178300808.5,7.65747545,146375279.7,7.548513775,153050312
,,9.37931097,178264404.4,7.697520903,146463023.1,7.588616409,153140233.5
,,9.419420365,178228000.2,7.737623594,146551388.8,7.628718985,153230466
,,9.459529817,178191907.2,7.777726285,146639754.5,7.668821619,153320698.6
,,9.499639269,178155814.1,7.817828977,146728431.3,7.708866957,153410931.2
,,9.539748721,178119721.1,7.857931668,146817108.1,7.748969534,153501163.8
,,9.579858288,178083005.8,7.898034359,146906096.1,7.789072168,153591085.2
,,9.619967797,178047223.9,7.938136993,146995395.3,7.829174744,153681628.9
,,9.660077364,178011442,7.978239627,147085005.5,7.869277378,153771861.5
,,9.700186988,177975349,8.018342261,147174615.8,7.909379955,153862094
,,9.740296612,177939567.1,8.058444895,147263914.9,7.949482531,153952637.8
,,9.780406236,177903785.2,8.098547528,147353836.4,7.989585108,154043181.5
,,9.820515975,177867381,8.138650162,147443446.6,8.029687684,154134036.4
,,9.860625656,177831599.2,8.178752796,147533056.9,8.069790261,154224891.2
,,9.900735452,177795195,8.218798134,147622667.2,8.109892838,154316368.4
,,9.940845247,177758790.8,8.258900768,147712588.6,8.149995357,154407845.5
,,9.980955043,177722075.5,8.299003345,147802510.1,8.190097876,154499633.8
,,10.0210649,177685360.2,8.339105979,147892431.5,8.2301431,154591422.2
,,10.06123216,177648022.5,8.379208613,147982664.1,8.270245619,154683832.8
,,10.10134207,177610996.1,8.419311189,148072896.6,8.310348138,154775932.2
,,10.1414521,177573347.3,8.459413766,148163440.4,8.3504506,154868342.8
,,10.18156212,177535698.5,8.499516342,148254295.2,8.39055312,154961064.6
,,10.2216722,177497427.5,8.539618919,148345461.2,8.430655582,155053475.2
,,10.26178234,177458845.3,8.579721495,148436627.2,8.470758101,155146196.9
,,10.30189254,177419951.9,8.619824015,148528104.4,8.510860563,155238918.6
,,10.34200279,177380747.4,8.659926591,148619581.6,8.550963025,155331640.4
,,10.38211305,177341231.8,8.700029111,148711369.9,8.591065544,155424362.1
,,10.42222336,177301093.9,8.740074334,148803469.3,8.631168006,155517395
,,10.46233373,177260955.9,8.780176853,148895568.8,8.671270468,155610427.9
